species,subspecies,individual,TSPY,VCY,CDY,HSFY,RBMY,BPY2,DAZ
HomSap,HomSap,HG02554,34,2,4,2,8,3,4
HomSap,HomSap,HG01243,29,2,4,2,10,3,4
HomSap,HomSap,HG00673,31,2,4,2,9,3,4
HomSap,HomSap,HG03492,27,2,4,2,10,3,4
HomSap,HomSap,NA19239,35,2,4,2,11,3,4
HomSap,HomSap,HG01109,36,2,4,2,9,3,4
HomSap,HomSap,HC18989,30,2,5,2,9,5,6
HomSap,HomSap,HG02717,33,2,4,2,8,3,3
HomSap,HomSap,HG03732,31,2,4,2,6,2,4
HomSap,HomSap,NA19331,36,2,4,2,7,3,4
HomSap,HomSap,HG03371,33,2,4,2,8,3,4
HomSap,HomSap,HG01952,27,2,4,2,9,3,4
HomSap,HomSap,HG01258,46,2,4,2,6,3,4
HomSap,HomSap,HC01457,32,2,4,2,8,3,4
HomSap,HomSap,HG03009,31,2,4,2,6,2,4
HomSap,HomSap,HG00731,31,2,4,2,7,3,4
HomSap,HomSap,HG02492,33,2,4,2,5,3,4
HomSap,HomSap,HG03456,37,2,4,2,8,3,4
HomSap,HomSap,NA19650,29,2,4,2,9,3,4
HomSap,HomSap,HG01106,26,2,4,2,7,3,4
HomSap,HomSap,HG03248,28,2,4,2,10,3,4
HomSap,HomSap,HG01928,28,2,4,2,7,3,4
HomSap,HomSap,HG01890,23,2,4,2,10,3,4
HomSap,HomSap,NA19705,34,2,4,2,8,3,4
HomSap,HomSap,HG01358,29,2,3,1,9,3,4
HomSap,HomSap,HG01505,28,2,4,2,9,3,4
HomSap,HomSap,HG03065,41,2,4,2,8,3,3
HomSap,HomSap,HG03579,32,2,4,2,8,3,4
HomSap,HomSap,NA18534,28,2,4,2,8,3,4
HomSap,HomSap,NA19317,32,2,4,2,8,3,4
HomSap,HomSap,HG00512,32,2,4,2,8,3,4
HomSap,HomSap,HC19384,35,2,4,2,8,3,4
HomSap,HomSap,NA19347,32,2,4,2,8,3,4
HomSap,HomSap,HG02486,32,2,5,2,8,3,4
HomSap,HomSap,HC02666,32,2,4,2,7,3,4
HomSap,HomSap,HG00621,32,2,4,2,6,3,4
HomSap,HomSap,HG00358,22,2,3,2,10,1,2
HomSap,HomSap,HG01596,31,2,4,2,8,3,4
HomSap,HomSap,HG02953,33,2,4,2,8,3,4
HomSap,HomSap,HG03471,31,2,4,2,8,3,4
HomSap,HomSap,NA20509,28,2,4,2,9,3,4
HomSap,HomSap,HG00096,27,2,4,2,9,3,4
HomSap,HomSap,HG02011,34,2,4,2,8,3,4
HomSap,HomSap,HG002,45,2,4,2,6,3,4
HomSap,HomSap,HG02572,28,2,3,2,7,3,4
