species,species_name,gene,TPM,NumReads,n_transcripts,yag_family
GorGor,Gorilla,BPY2,0,0,1,BPY2
GorGor,Gorilla,CDY,0.8490979999999999,7,6,CDY
GorGor,Gorilla,DAZ,0,0,2,DAZ
GorGor,Gorilla,DAZ1,0.404757,7.268,5,DAZ
GorGor,Gorilla,HSFY,3.10155,9.725,5,HSFY
GorGor,Gorilla,LOC129530208,0,0,1,HSFY
GorGor,Gorilla,LOC129530216,1.083718,13.732,2,DAZ
GorGor,Gorilla,LOC129530236,0,0,1,HSFY
GorGor,Gorilla,LOC129530237,0,0,1,HSFY
GorGor,Gorilla,LOC129530238,0,0,2,RBMY
GorGor,Gorilla,LOC129530239,0.992084,9.97,3,RBMY
GorGor,Gorilla,LOC129530240,0,0,2,RBMY
GorGor,Gorilla,LOC129530241,1.522485,15.077,3,RBMY
GorGor,Gorilla,LOC129530242,0,0,1,RBMY
GorGor,Gorilla,LOC129530243,0.732751,6.451,1,RBMY
GorGor,Gorilla,LOC129530247,0,0,1,CDY
GorGor,Gorilla,LOC129530249,0,0,1,RBMY
GorGor,Gorilla,LOC129530256,0.113054,1,2,RBMY
GorGor,Gorilla,LOC129530259,0.823456,3.567,2,RBMY
GorGor,Gorilla,LOC129530261,0.423118,3.964,1,RBMY
GorGor,Gorilla,LOC129530264,0.568302,4,1,RBMY
GorGor,Gorilla,LOC129530266,0.217692,2,3,RBMY
GorGor,Gorilla,LOC129530267,0.270473,2,2,RBMY
GorGor,Gorilla,LOC129530275,11.054674,70.561,1,TSPY
GorGor,Gorilla,LOC129530276,2.308442,18.053,1,TSPY
GorGor,Gorilla,LOC129530294,7.026955,22.678,1,HSFY
GorGor,Gorilla,LOC129530295,3.302497,10.597,1,HSFY
GorGor,Gorilla,LOC129530363,0,0,1,BPY2
GorGor,Gorilla,RBMY,2.625641,25.971,8,RBMY
GorGor,Gorilla,TSPY,6.502699,23.385,3,TSPY
HomSap,Human,BPY2,4.262121,51,4,BPY2
HomSap,Human,CDY,0,0,4,CDY
HomSap,Human,CDY1,2.285328,285.91,3,CDY
HomSap,Human,CDY1B,0,0,3,CDY
HomSap,Human,CDY2B,1.025835,127.09,1,CDY
HomSap,Human,DAZ,4.847871,524.063,8,DAZ
HomSap,Human,DAZ1,0.331664,36.569,2,DAZ
HomSap,Human,DAZ2,0.181954,15.274000000000001,6,DAZ
HomSap,Human,DAZ3,0,0,1,DAZ
HomSap,Human,DAZ4,1.064969,116.071,2,DAZ
HomSap,Human,HSFY,3.264813,218.749,2,HSFY
HomSap,Human,HSFY1,80.52161899999999,5261.956,4,HSFY
HomSap,Human,HSFY2,1.529927,43.008,1,HSFY
HomSap,Human,LOC124905618,1.460415,116.22200000000001,3,TSPY
HomSap,Human,LOC124905620,0.380556,26.225,1,TSPY
HomSap,Human,LOC124905624,0,0,2,TSPY
HomSap,Human,LOC124905625,36.815659000000004,2800.944,3,TSPY
HomSap,Human,LOC124908988,0.349334,26.743,3,TSPY
HomSap,Human,LOC124909015,5.943926,453.815,3,TSPY
HomSap,Human,LOC124909084,0,0,3,TSPY
HomSap,Human,LOC124909093,0,0,3,TSPY
HomSap,Human,LOC124909197,0.089871,6.217,2,TSPY
HomSap,Human,LOC124909306,1.906331,140.747,2,TSPY
HomSap,Human,LOC124909318,11.99939,913.257,2,TSPY
HomSap,Human,LOC124909330,0,0,2,TSPY
HomSap,Human,LOC124909332,0,0,1,TSPY
HomSap,Human,LOC128966595,0,0,3,TSPY
HomSap,Human,LOC128966656,0,0,3,TSPY
HomSap,Human,RBMY,0,0,8,RBMY
HomSap,Human,RBMY1A1,0,0,3,RBMY
HomSap,Human,RBMY1B,6.311502999999999,658.662,4,RBMY
