species,species_name,yag_family,TPM_std,NumReads_std,TPM_enr,NumReads_enr,TPM_log2fc,Reads_log2fc,Reads_diff
GorGor,Gorilla,BPY2,0,0,0,0,0,0,0
GorGor,Gorilla,CDY,0.526128,7,0.8490979999999999,7,0.27694571836815884,0,0
GorGor,Gorilla,DAZ,1.488739,21,1.488475,21,-1.5304605795588702e-4,0,0
GorGor,Gorilla,HSFY,13.347013,43,13.431002,43,0.008421071281183617,0,0
GorGor,Gorilla,RBMY,8.328228,74,8.289056,74,-0.006071061013887006,0,0
GorGor,Gorilla,TSPY,16.993385,112,19.865815,111.99900000000001,0.21367465339378344,-1.276726924348479e-5,-9.99999999990564e-4
HomSap,Human,BPY2,4.261556,51,4.262121,51,1.5491214693975813e-4,0,0
HomSap,Human,CDY,3.3160429999999996,412.99899999999997,3.3111629999999996,413,-0.0016321280726162256,3.484774838978433e-6,0.0010000000000331966
HomSap,Human,DAZ,6.3400479999999995,600.977,6.426457999999999,691.977,0.01688479339161195,0.2030991035602771,91
HomSap,Human,HSFY,85.37517299999999,5523.715,85.31635899999999,5523.713,-9.826847724697823e-4,-5.222695839119785e-7,-0.0020000000004074536
HomSap,Human,RBMY,20.286762,1942.235,20.250512999999998,1942.233,-0.0024588441641486126,-1.4848392328110558e-6,-0.0019999999999527063
HomSap,Human,TSPY,70.833355,5140.102,70.91282700000001,5140.101,0.0015952266749062918,-2.806198323244443e-7,-0.0010000000002037268
HomSap,Human,VCY,80.275484,2480.069,80.398945,2478.3849999999998,0.0021898537801717517,-9.79546848812953e-4,-1.6840000000001965
PanPan,Bonobo,BPY2,4.381006,5,4.38167,5,1.780132577370837e-4,0,0
PanPan,Bonobo,CDY,2.278858,33,2.27359,33,-0.0023197800617149157,0,0
PanPan,Bonobo,DAZ,6.200272,61,6.279525,62,0.015792908126791277,0.023083613113041246,1
PanPan,Bonobo,RBMY,15.265423,185.001,16.978348,184.99800000000002,0.14445211841549205,-2.32693374054702e-5,-0.002999999999985903
PanPan,Bonobo,TSPY,46.246230000000004,609,46.418829,610,0.005260821678385786,0.002363137368480879,1
PanPan,Bonobo,VCY,56.693571,703.436,59.456317,735.356,0.06748252944971828,0.06393478331790514,31.91999999999996
PanTro,Chimpanzee,BPY2,1.32869,7,1.329588,7,5.562313639362031e-4,0,0
PanTro,Chimpanzee,CDY,9.802980999999999,527,10.230586,527.001,0.05600374000117278,2.7323743839672704e-6,9.999999999763531e-4
PanTro,Chimpanzee,DAZ,31.28622,1138,31.510002,1138,0.00996510152238176,0,0
PanTro,Chimpanzee,RBMY,56.382938,2528.999,56.686987,2529,0.007624077365790133,5.702353068220052e-7,0.0010000000002037268
PanTro,Chimpanzee,TSPY,56.321028,1270,58.561009,1270.999,0.05530371102249495,0.00113350608473615,0.9990000000000236
PanTro,Chimpanzee,VCY,58.799733,1315.133,58.861651,1314.68,0.0014930263469839498,-4.966468818087559e-4,-0.45299999999997453
PonAbe,Sumatran orangutan,CDY,32.499715,66,32.489536,66.001,-4.384343074452752e-4,2.1532601113618906e-5,0.0010000000000047748
PonAbe,Sumatran orangutan,DAZ,0.249601,1,1.1220430000000001,2,0.7639863774698238,0.5849625007211562,1
PonAbe,Sumatran orangutan,HSFY,199.03509000000003,150.999,198.919025,151,-8.373280751028785e-4,9.491445964758606e-6,0.0010000000000047748
PonAbe,Sumatran orangutan,RBMY,1.505744,2,1.503852,2,-0.001089740229408818,0,0
PonAbe,Sumatran orangutan,TSPY,16.515977,15.001000000000001,19.433123,15.998999999999999,0.22223826201771113,0.08728780871765007,0.9979999999999976
PonPyg,Bornean orangutan,CDY,1.021351,22,1.019167,22.001,-0.0015596249174782586,6.272450777665805e-5,0.0010000000000012221
PonPyg,Bornean orangutan,DAZ,7.756213,167,10.360491,206.341,0.37564623495768584,0.3035441928886639,39.34100000000001
PonPyg,Bornean orangutan,HSFY,16.384867,184,16.369851999999998,184.001,-0.0012465684091232418,7.798330495960523e-6,0.0010000000000047748
PonPyg,Bornean orangutan,RBMY,8.495032,107.00099999999999,8.486905,107,-0.0012353621565299167,-1.3358225572025732e-5,-9.99999999990564e-4
PonPyg,Bornean orangutan,TSPY,38.528084,244.001,56.060439,254,0.5296128197447447,0.05770960931711748,9.998999999999995
