species_name,yag_family,TPM,NumReads,n_transcripts
Bonobo,BPY2,4.38167,5,1
Bonobo,CDY,2.27359,33,3
Bonobo,DAZ,6.279525,62,4
Bonobo,RBMY,16.978348,184.99800000000002,86
Bonobo,TSPY,46.418829,610,11
Bonobo,VCY,59.456317,735.356,3
Bornean orangutan,CDY,1.019167,22.001,18
Bornean orangutan,DAZ,10.360491,206.341,22
Bornean orangutan,HSFY,16.369851999999998,184.001,20
Bornean orangutan,RBMY,8.486905,107,12
Bornean orangutan,TSPY,56.060439,254,13
Chimpanzee,BPY2,1.329588,7,1
Chimpanzee,CDY,10.230586,527.001,11
Chimpanzee,DAZ,31.510002,1138,16
Chimpanzee,RBMY,56.686987,2529,25
Chimpanzee,TSPY,58.561009,1270.999,16
Chimpanzee,VCY,58.861651,1314.68,3
Gorilla,BPY2,0,0,2
Gorilla,CDY,0.8490979999999999,7,7
Gorilla,DAZ,1.488475,21,9
Gorilla,HSFY,13.431002,43,10
Gorilla,RBMY,8.289056,74,32
Gorilla,TSPY,19.865815,111.99900000000001,5
Human,BPY2,4.262121,51,4
Human,CDY,3.3111629999999996,413,11
Human,DAZ,6.426457999999999,691.977,19
Human,HSFY,85.31635899999999,5523.713,7
Human,RBMY,20.250512999999998,1942.233,31
Human,TSPY,70.91282700000001,5140.101,65
Human,VCY,80.398945,2478.3849999999998,4
Sumatran orangutan,CDY,32.489536,66.001,22
Sumatran orangutan,DAZ,1.1220430000000001,2,7
Sumatran orangutan,HSFY,198.919025,151,17
Sumatran orangutan,RBMY,1.503852,2,7
Sumatran orangutan,TSPY,19.433123,15.998999999999999,22
