gene_family,gene name,biotype
HSFY,LOC129530423,pseudogene
TSPY,LOC129530253,pseudogene
TSPY,LOC129530254,transcribed_pseudogene
TSPY,LOC129530191,pseudogene
RBMY,LOC129530256,protein_coding
RBMY,LOC129530259,protein_coding
TSPY,LOC129530260,pseudogene
RBMY,LOC129530262,transcribed_pseudogene
RBMY,LOC129530261,protein_coding
RBMY,LOC129530264,protein_coding
TSPY,LOC129530265,pseudogene
RBMY,LOC129530266,protein_coding
RBMY,LOC129530267,protein_coding
RBMY,LOC129530269,pseudogene
CDY,LOC129530301,pseudogene
XKRY,LOC129530194,pseudogene
CDY,LOC129530197,pseudogene
HSFY,LOC129530294,protein_coding
HSFY,LOC129530295,transcribed_pseudogene
CDY,LOC129530199,pseudogene
XKRY,LOC129530200,pseudogene
CDY,LOC129530297,pseudogene
RBMY,LOC129530287,pseudogene
RBMY,LOC129530286,pseudogene
CDY,LOC129530299,pseudogene
CDY,LOC129530202,pseudogene
HSFY,LOC129530237,transcribed_pseudogene
HSFY,LOC129530236,pseudogene
CDY,LOC129530204,pseudogene
CDY,LOC129530247,protein_coding
RBMY,LOC129530245,transcribed_pseudogene
RBMY,LOC129530243,protein_coding
RBMY,LOC129530239,protein_coding
RBMY,LOC129530240,protein_coding
RBMY,LOC129530238,protein_coding
RBMY,LOC129530241,protein_coding
RBMY,LOC129530242,protein_coding
TSPY,LOC129530246,pseudogene
HSFY,LOC129530244,pseudogene
XKRY,LOC129530206,pseudogene
HSFY,LOC129530387,pseudogene
XKRY,LOC129530410,pseudogene
CDY,LOC129530319,pseudogene
HSFY,LOC129530321,pseudogene
HSFY,LOC129530389,pseudogene
CDY,LOC129530311,pseudogene
XKRY,LOC129530291,pseudogene
PRY,LOC129530325,pseudogene
HSFY,LOC129530388,pseudogene
XKRY,LOC129530326,pseudogene
HSFY,LOC129530298,pseudogene
RBMY,LOC129530271,pseudogene
RBMY,LOC129530249,protein_coding
TSPY,LOC129530272,pseudogene
RBMY,LOC129530327,pseudogene
CDY,LOC129530409,pseudogene
RBMY,LOC129530344,pseudogene
TSPY,LOC129530274,pseudogene
TSPY,LOC129530275,protein_coding
TSPY,LOC129530277,protein_coding
TSPY,LOC129530276,protein_coding
TSPY,LOC129530278,protein_coding
TSPY,LOC129530279,protein_coding
TSPY,LOC129530280,protein_coding
TSPY,LOC129530281,pseudogene
TSPY,LOC129530350,pseudogene
CDY,LOC129530302,pseudogene
XKRY,LOC129530351,pseudogene
CDY,LOC129530352,pseudogene
HSFY,LOC129530208,pseudogene
XKRY,LOC129530210,pseudogene
HSFY,LOC129530356,pseudogene
XKRY,LOC129530359,pseudogene
PRY,LOC129530213,protein_coding
RBMY,LOC129530214,pseudogene
BPY2,LOC129530363,protein_coding
DAZ,LOC129530215,protein_coding
DAZ,LOC129530216,protein_coding
BPY2,LOC129530366,protein_coding
RBMY,LOC129530217,pseudogene
PRY,LOC129530218,protein_coding
XKRY,LOC129530368,pseudogene
HSFY,LOC129530370,pseudogene
XKRY,LOC129530221,pseudogene
CDY,LOC129530222,pseudogene
CDY,LOC129530223,pseudogene
XKRY,LOC129530373,pseudogene
