gene_family,gene name,biotype
HSFY,HSFY3P,pseudogene
TSPY,TSPY13P,pseudogene
TSPY,TSPY19P,pseudogene
RBMY,RBMY2GP,pseudogene
TSPY,TSPY17P,pseudogene
RBMY,RBMY2HP,pseudogene
TSPY,TSPY12P,pseudogene
BPY2,BPY2DP,pseudogene
RBMY,RBMY2JP,pseudogene
RBMY,RBMY2KP,pseudogene
TSPY,TSPY24P,pseudogene
RBMY,RBMY2MP,pseudogene
CDY,CDY3P,pseudogene
RBMY,RBMY1A3P,transcribed_pseudogene
RBMY,RBMY1GP,pseudogene
TSPY,LOC124908988,protein_coding
TSPY,TSPY8,protein_coding
TSPY,LOC128966656,protein_coding
TSPY,LOC128966595,protein_coding
TSPY,TSPY4,protein_coding
TSPY,LOC124909332,protein_coding
TSPY,LOC124905624,protein_coding
TSPY,TSPY7P,pseudogene
TSPY,LOC124905625,protein_coding
TSPY,LOC124905615,protein_coding
TSPY,LOC124905628,protein_coding
TSPY,TSPY6P,pseudogene
TSPY,TSPY3,protein_coding
TSPY,LOC128966647,protein_coding
TSPY,LOC124905614,protein_coding
TSPY,LOC124908978,protein_coding
TSPY,LOC124905618,protein_coding
TSPY,LOC124905616,protein_coding
TSPY,LOC124905621,protein_coding
TSPY,LOC124908979,protein_coding
TSPY,LOC124908981,protein_coding
TSPY,LOC124909305,protein_coding
TSPY,LOC124909306,protein_coding
TSPY,LOC124908980,protein_coding
TSPY,LOC124909084,protein_coding
TSPY,TSPY9,protein_coding
TSPY,LOC124909320,protein_coding
TSPY,LOC124909329,protein_coding
TSPY,LOC124909330,protein_coding
TSPY,LOC124909317,protein_coding
TSPY,LOC124909318,protein_coding
TSPY,LOC124909093,protein_coding
TSPY,LOC124909293,protein_coding
TSPY,LOC124909294,protein_coding
TSPY,LOC124909015,protein_coding
TSPY,TSPY1,protein_coding
TSPY,LOC124905627,protein_coding
TSPY,LOC124905619,protein_coding
TSPY,LOC124905620,protein_coding
TSPY,LOC124905617,protein_coding
TSPY,TSPY10,protein_coding
TSPY,LOC128966599,protein_coding
TSPY,LOC124909197,protein_coding
TSPY,LOC128966655,protein_coding
TSPY,LOC128966591,protein_coding
TSPY,TSPY15P,pseudogene
RBMY,RBMY3AP,transcribed_pseudogene
TSPY,TSPY25P,pseudogene
TSPY,TSPY16P,pseudogene
RBMY,RBMY2NP,pseudogene
TSPY,TSPY18P,pseudogene
TSPY,TSPY11P,pseudogene
TSPY,TSPY2,protein_coding
RBMY,RBMY2OP,pseudogene
RBMY,RBMY2QP,pseudogene
TSPY,TSPY20P,pseudogene
TSPY,TSPY5P,pseudogene
CDY,CDY4P,pseudogene
VCY,VCY,protein_coding
VCY,VCY1B,protein_coding
CDY,CDY5P,pseudogene
PRY,PRYP1,pseudogene
XKRY,XKRY,transcribed_pseudogene
CDY,CDY2B,protein_coding
CDY,CDY6P,pseudogene
CDY,CDY7P,pseudogene
CDY,CDY8P,pseudogene
CDY,CDY2A,protein_coding
XKRY,XKRYP7,transcribed_pseudogene
PRY,PRYP2,pseudogene
CDY,CDY9P,pseudogene
XKRY,XKRYP1,pseudogene
PRY,PRYP5,pseudogene
HSFY,HSFY1,protein_coding
HSFY,HSFY2,protein_coding
PRY,PRYP6,pseudogene
XKRY,XKRYP2,pseudogene
HSFY,HSFY4P,pseudogene
RBMY,RBMY2SP,pseudogene
RBMY,RBMY2EP,transcribed_pseudogene
RBMY,RBMY2TP,pseudogene
TSPY,TSPY14P,pseudogene
RBMY,RBMY1HP,pseudogene
RBMY,RBMY1B,protein_coding
RBMY,RBMY1A1,protein_coding
CDY,CDY10P,pseudogene
CDY,CDY11P,pseudogene
RBMY,RBMY1D,protein_coding
RBMY,RBMY1E,protein_coding
RBMY,RBMY2AP,pseudogene
HSFY,HSFY5P,pseudogene
CDY,CDY13P,pseudogene
PRY,PRY,protein_coding
RBMY,RBMY1J,protein_coding
TSPY,TSPY21P,pseudogene
RBMY,RBMY2VP,pseudogene
RBMY,RBMY2FP,transcribed_pseudogene
TSPY,TSPY22P,pseudogene
RBMY,RBMY1KP,pseudogene
RBMY,RBMY2UP,pseudogene
TSPY,TSPY23P,pseudogene
RBMY,RBMY1F,protein_coding
PRY,PRY2,protein_coding
CDY,CDY12P,pseudogene
HSFY,HSFY7P,pseudogene
RBMY,RBMY2BP,pseudogene
RBMY,RBMY2WP,pseudogene
BPY2,BPY2,protein_coding
DAZ,DAZ1,protein_coding
DAZ,DAZ3,protein_coding
BPY2,BPY2B,protein_coding
RBMY,RBMY2XP,pseudogene
CDY,CDY18P,pseudogene
CDY,CDY17P,pseudogene
CDY,CDY1B,protein_coding
XKRY,XKRYP4,pseudogene
CDY,CDY16P,pseudogene
CDY,CDY15P,pseudogene
XKRY,XKRYP3,pseudogene
PRY,PRYP3,pseudogene
CDY,CDY14P,pseudogene
HSFY,HSFY6P,pseudogene
RBMY,RBMY2CP,pseudogene
DAZ,DAZ4,protein_coding
DAZ,DAZ2,protein_coding
BPY2,BPY2C,protein_coding
RBMY,RBMY2YP,pseudogene
CDY,CDY19P,pseudogene
CDY,CDY20P,pseudogene
CDY,CDY1,protein_coding
XKRY,XKRYP5,pseudogene
CDY,CDY21P,pseudogene
CDY,CDY22P,pseudogene
XKRY,XKRYP6,pseudogene
PRY,PRYP4,pseudogene
CDY,CDY23P,pseudogene
HSFY,HSFY8P,pseudogene
RBMY,RBMY2DP,pseudogene
PRY,SPRY3,protein_coding
