gene_family,gene name,biotype
HSFY,LOC129053410,pseudogene
RBMY,LOC129053116,pseudogene
RBMY,LOC129053464,protein_coding
RBMY,LOC129053479,protein_coding
TSPY,LOC129053463,protein_coding
RBMY,LOC129053380,pseudogene
RBMY,LOC129053501,pseudogene
RBMY,LOC129053121,pseudogene
RBMY,LOC129053122,pseudogene
RBMY,LOC129053403,pseudogene
RBMY,LOC129053124,pseudogene
TSPY,LOC129053458,pseudogene
TSPY,LOC129053384,protein_coding
TSPY,LOC129053428,pseudogene
TSPY,LOC129053415,protein_coding
TSPY,LOC129053418,pseudogene
TSPY,LOC129053427,protein_coding
TSPY,LOC129053425,pseudogene
TSPY,LOC129053419,protein_coding
TSPY,LOC129053420,protein_coding
TSPY,LOC129053478,protein_coding
TSPY,LOC129053387,protein_coding
TSPY,LOC129053389,protein_coding
TSPY,LOC129053386,protein_coding
TSPY,LOC129053409,protein_coding
TSPY,LOC129053405,protein_coding
TSPY,LOC129053407,protein_coding
TSPY,LOC129053388,protein_coding
TSPY,LOC129053414,protein_coding
TSPY,LOC129053413,protein_coding
TSPY,LOC129053408,protein_coding
TSPY,LOC129053385,protein_coding
TSPY,LOC129053416,protein_coding
TSPY,LOC129053421,pseudogene
RBMY,LOC129053127,pseudogene
TSPY,LOC129053128,pseudogene
RBMY,LOC129053402,protein_coding
RBMY,LOC129053438,pseudogene
RBMY,LOC129053434,pseudogene
RBMY,LOC129053429,pseudogene
RBMY,LOC129053436,pseudogene
RBMY,LOC129053437,protein_coding
CDY,LOC129053213,pseudogene
RBMY,LOC129053214,pseudogene
CDY,LOC129053439,protein_coding
CDY,LOC129053440,protein_coding
DAZ,LOC129053219,protein_coding
DAZ,LOC129053220,pseudogene
BPY2,LOC129053221,pseudogene
HSFY,LOC129053223,pseudogene
XKRY,LOC129053225,pseudogene
CDY,LOC129053441,protein_coding
CDY,LOC129053442,protein_coding
HSFY,LOC129053226,pseudogene
PRY,LOC129053228,protein_coding
CDY,LOC129053229,protein_coding
PRY,LOC129053230,pseudogene
HSFY,LOC129053231,pseudogene
HSFY,LOC129053171,protein_coding
XKRY,LOC129053234,pseudogene
XKRY,LOC129053236,pseudogene
CDY,LOC129053448,pseudogene
CDY,LOC129053449,protein_coding
CDY,LOC129053450,pseudogene
XKRY,LOC129053239,pseudogene
PRY,LOC129053241,protein_coding
HSFY,LOC129053243,pseudogene
CDY,LOC129053453,protein_coding
BPY2,LOC129053244,pseudogene
DAZ,LOC129053177,protein_coding
DAZ,LOC129053245,protein_coding
BPY2,LOC129053246,pseudogene
HSFY,LOC129053247,pseudogene
CDY,LOC129053460,protein_coding
CDY,LOC129053461,protein_coding
XKRY,LOC129053249,pseudogene
CDY,LOC129053178,protein_coding
CDY,LOC129053180,protein_coding
XKRY,LOC129053254,pseudogene
HSFY,LOC129053255,pseudogene
HSFY,LOC129053184,protein_coding
XKRY,LOC129053259,pseudogene
HSFY,LOC129053262,pseudogene
XKRY,LOC129053155,pseudogene
CDY,LOC129053187,pseudogene
CDY,LOC129053470,pseudogene
PRY,LOC129053263,pseudogene
PRY,LOC129053266,pseudogene
CDY,LOC129053472,pseudogene
XKRY,LOC129053166,pseudogene
HSFY,LOC129053267,pseudogene
HSFY,LOC129053190,protein_coding
XKRY,LOC129053273,pseudogene
XKRY,LOC129053275,pseudogene
HSFY,LOC129053277,pseudogene
XKRY,LOC129053278,pseudogene
CDY,LOC129053475,pseudogene
CDY,LOC129053476,protein_coding
HSFY,LOC129053281,pseudogene
CDY,LOC129053198,protein_coding
CDY,LOC129053199,protein_coding
XKRY,LOC129053282,pseudogene
HSFY,LOC129053284,pseudogene
DAZ,LOC129053200,pseudogene
DAZ,LOC129053201,pseudogene
CDY,LOC129053481,pseudogene
HSFY,LOC129053289,pseudogene
CDY,LOC129053482,pseudogene
CDY,LOC129053483,pseudogene
XKRY,LOC129053167,pseudogene
PRY,LOC129053291,pseudogene
HSFY,LOC129053292,pseudogene
HSFY,LOC129053487,protein_coding
XKRY,LOC129053295,pseudogene
XKRY,LOC129053297,pseudogene
CDY,LOC129053491,pseudogene
CDY,LOC129053492,protein_coding
CDY,LOC129053493,pseudogene
PRY,LOC129053300,protein_coding
HSFY,LOC129053302,pseudogene
CDY,LOC129053496,protein_coding
BPY2,LOC129053303,pseudogene
DAZ,LOC129053304,protein_coding
DAZ,LOC129053305,protein_coding
BPY2,LOC129053306,pseudogene
HSFY,LOC129053307,pseudogene
CDY,LOC129053502,protein_coding
CDY,LOC129053503,protein_coding
XKRY,LOC129053309,pseudogene
CDY,LOC129053357,protein_coding
CDY,LOC129053358,protein_coding
XKRY,LOC129053313,pseudogene
HSFY,LOC129053314,pseudogene
XKRY,LOC129053316,pseudogene
XKRY,LOC129053317,pseudogene
HSFY,LOC129053362,protein_coding
HSFY,LOC129053324,pseudogene
XKRY,LOC129053165,pseudogene
CDY,LOC129053364,pseudogene
CDY,LOC129053135,pseudogene
PRY,LOC129053325,protein_coding
HSFY,LOC129053328,pseudogene
CDY,LOC129053139,protein_coding
BPY2,LOC129053329,pseudogene
DAZ,LOC129053141,pseudogene
DAZ,LOC129053368,pseudogene
BPY2,LOC129053330,pseudogene
CDY,LOC129053143,pseudogene
HSFY,LOC129053332,pseudogene
XKRY,LOC129053334,pseudogene
CDY,LOC129053144,protein_coding
CDY,LOC129053145,protein_coding
BPY2,LOC129053336,pseudogene
DAZ,LOC129053337,pseudogene
DAZ,LOC129053370,pseudogene
BPY2,LOC129053338,pseudogene
