"transcript_id","structural_isoform","species","sequence_isoform"
"TCONS_00000008_gor_techrep1_RBMY","isoform_1","gor","isoform_1"
"TCONS_00000008_sum_orang_techrep1_RBMY","isoform_2","sum_orang","isoform_2"
"TCONS_00000009_gor_techrep1_RBMY","isoform_3","gor","isoform_3"
"TCONS_00000009_sum_orang_techrep1_RBMY","isoform_4","sum_orang","isoform_4"
"TCONS_00000010_gor_techrep1_RBMY","isoform_5","gor","isoform_5"
"TCONS_00000010_sum_orang_techrep1_RBMY","isoform_6","sum_orang","isoform_6"
"TCONS_00000011_gor_techrep1_RBMY","isoform_7","gor","isoform_7"
"TCONS_00000011_sum_orang_techrep1_RBMY","isoform_5","sum_orang","isoform_8"
"TCONS_00000012_sum_orang_techrep1_RBMY","isoform_5","sum_orang","isoform_9"
"TCONS_00000014_bonobo_techrep1_RBMY","isoform_8","bonobo","isoform_10"
"TCONS_00000015_bonobo_techrep1_RBMY","isoform_9","bonobo","isoform_10"
"TCONS_00000016_bonobo_techrep1_RBMY","isoform_3","bonobo","isoform_11"
"TCONS_00000016_chimp_techrep1_RBMY","isoform_10","chimp","isoform_12"
"TCONS_00000017_bonobo_techrep1_RBMY","isoform_11","bonobo","isoform_11"
"TCONS_00000017_chimp_techrep1_RBMY","isoform_12","chimp","isoform_13"
"TCONS_00000018_bonobo_techrep1_RBMY","isoform_13","bonobo","isoform_10"
"TCONS_00000018_chimp_techrep1_RBMY","isoform_14","chimp","isoform_12"
"TCONS_00000019_chimp_techrep1_RBMY","isoform_15","chimp","isoform_13"
"TCONS_00000021_bonobo_techrep1_RBMY","isoform_10","bonobo","isoform_14"
"TCONS_00000022_bonobo_techrep1_RBMY","isoform_14","bonobo","isoform_14"
"TCONS_00000023_bonobo_techrep1_RBMY","isoform_10","bonobo","isoform_15"
"TCONS_00000027_bonobo_techrep1_RBMY","isoform_10","bonobo","isoform_16"
"TCONS_00000028_bonobo_techrep1_RBMY","isoform_14","bonobo","isoform_16"
"TCONS_00000029_bonobo_techrep1_RBMY","isoform_12","bonobo","isoform_17"
"TCONS_00000030_bonobo_techrep1_RBMY","isoform_10","bonobo","isoform_18"
"TCONS_00000031_bonobo_techrep1_RBMY","isoform_14","bonobo","isoform_19"
"TCONS_00000033_bonobo_techrep1_RBMY","isoform_10","bonobo","isoform_20"
"TCONS_00000034_bonobo_techrep1_RBMY","isoform_14","bonobo","isoform_20"
"TCONS_00000034_chimp_techrep1_RBMY","isoform_10","chimp","isoform_21"
"TCONS_00000035_bonobo_techrep1_RBMY","isoform_12","bonobo","isoform_22"
"TCONS_00000035_chimp_techrep1_RBMY","isoform_12","chimp","isoform_23"
"TCONS_00000036_chimp_techrep1_RBMY","isoform_14","chimp","isoform_21"
"TCONS_00000037_bor_orang_techrep1_RBMY","isoform_6","bor_orang","isoform_6"
"TCONS_00000037_chimp_techrep1_RBMY","isoform_16","chimp","isoform_24"
"TCONS_00000038_bor_orang_techrep1_RBMY","isoform_17","bor_orang","isoform_25"
"TCONS_00000038_chimp_techrep1_RBMY","isoform_12","chimp","isoform_26"
"TCONS_00000039_bor_orang_techrep1_RBMY","isoform_18","bor_orang","isoform_27"
"TCONS_00000039_chimp_techrep1_RBMY","isoform_10","chimp","isoform_28"
"TCONS_00000040_chimp_techrep1_RBMY","isoform_15","chimp","isoform_26"
"TCONS_00000041_chimp_techrep1_RBMY","isoform_14","chimp","isoform_28"
"TCONS_00000042_bonobo_techrep1_RBMY","isoform_10","bonobo","isoform_29"
