"transcript_id","structural_isoform","species","sequence_isoform"
"TCONS_00000002_human_techrep1_HSFY","isoform_1","human","isoform_1"
"TCONS_00000015_gor_techrep1_HSFY","isoform_2","gor","isoform_2"
"TCONS_00000020_gor_techrep1_HSFY","isoform_2","gor","isoform_3"
"TCONS_00000039_gor_techrep1_HSFY","isoform_2","gor","isoform_4"
"TCONS_00000061_bor_orang_techrep1_HSFY","isoform_2","bor_orang","isoform_5"
"TCONS_00000062_bor_orang_techrep1_HSFY","isoform_3","bor_orang","isoform_6"
"TCONS_00000065_sum_orang_techrep1_HSFY","isoform_2","sum_orang","isoform_5"
"TCONS_00000066_sum_orang_techrep1_HSFY","isoform_3","sum_orang","isoform_6"
"TCONS_00000082_bor_orang_techrep1_HSFY","isoform_2","bor_orang","isoform_5"
"TCONS_00000083_bor_orang_techrep1_HSFY","isoform_3","bor_orang","isoform_6"
"TCONS_00000087_bor_orang_techrep1_HSFY","isoform_2","bor_orang","isoform_5"
"TCONS_00000088_bor_orang_techrep1_HSFY","isoform_3","bor_orang","isoform_6"
"TCONS_00000089_human_techrep1_HSFY","isoform_3","human","isoform_7"
"TCONS_00000090_human_techrep1_HSFY","isoform_4","human","isoform_8"
"TCONS_00000091_gor_techrep1_HSFY","isoform_2","gor","isoform_2"
"TCONS_00000091_human_techrep1_HSFY","isoform_2","human","isoform_9"
"TCONS_00000095_gor_techrep1_HSFY","isoform_2","gor","isoform_10"
"TCONS_00000141_sum_orang_techrep1_HSFY","isoform_3","sum_orang","isoform_6"
"TCONS_00000142_sum_orang_techrep1_HSFY","isoform_2","sum_orang","isoform_5"
"TCONS_00000155_sum_orang_techrep1_HSFY","isoform_3","sum_orang","isoform_6"
"TCONS_00000156_sum_orang_techrep1_HSFY","isoform_2","sum_orang","isoform_5"
"TCONS_00000161_sum_orang_techrep1_HSFY","isoform_3","sum_orang","isoform_6"
"TCONS_00000162_sum_orang_techrep1_HSFY","isoform_2","sum_orang","isoform_5"
"TCONS_00000174_human_techrep1_HSFY","isoform_3","human","isoform_7"
"TCONS_00000175_human_techrep1_HSFY","isoform_2","human","isoform_9"
"TCONS_00000176_sum_orang_techrep1_HSFY","isoform_2","sum_orang","isoform_5"
"TCONS_00000194_bonobo_techrep1_HSFY","isoform_2","bonobo","isoform_1"
"TCONS_00000217_bor_orang_techrep1_HSFY","isoform_3","bor_orang","isoform_6"
"TCONS_00000218_bor_orang_techrep1_HSFY","isoform_2","bor_orang","isoform_5"
"TCONS_00000303_sum_orang_techrep1_HSFY","isoform_3","sum_orang","isoform_6"
