gene_family,gene name,biotype
HSFY,LOC129025965,pseudogene
VCY,LOC129025637,protein_coding
RBMY,LOC129025642,pseudogene
RBMY,LOC129025821,protein_coding
RBMY,LOC129025833,protein_coding
RBMY,LOC129025948,pseudogene
RBMY,LOC129025644,pseudogene
RBMY,LOC129025646,pseudogene
RBMY,LOC129025648,pseudogene
RBMY,LOC129025649,pseudogene
RBMY,LOC129025832,pseudogene
RBMY,LOC129025650,pseudogene
TSPY,LOC129025871,pseudogene
TSPY,LOC129025885,pseudogene
TSPY,LOC129025842,pseudogene
TSPY,LOC129025813,protein_coding
TSPY,LOC129025812,protein_coding
TSPY,LOC129025815,protein_coding
TSPY,LOC129025818,protein_coding
TSPY,LOC129025922,protein_coding
TSPY,LOC129025810,protein_coding
TSPY,LOC129025811,protein_coding
TSPY,LOC129025844,pseudogene
TSPY,LOC129025814,protein_coding
TSPY,LOC129025824,protein_coding
TSPY,LOC129025817,protein_coding
TSPY,LOC129025827,protein_coding
TSPY,LOC129025971,protein_coding
TSPY,LOC129025830,protein_coding
TSPY,LOC129025822,protein_coding
TSPY,LOC129025843,pseudogene
TSPY,LOC129025825,protein_coding
TSPY,LOC129025816,protein_coding
TSPY,LOC129025826,protein_coding
TSPY,LOC129025974,protein_coding
TSPY,LOC129025823,protein_coding
TSPY,LOC129025829,protein_coding
TSPY,LOC129025834,protein_coding
TSPY,LOC129025869,protein_coding
TSPY,LOC129025988,pseudogene
TSPY,LOC129025819,protein_coding
TSPY,LOC129025949,protein_coding
TSPY,LOC129025820,protein_coding
TSPY,LOC129025859,protein_coding
TSPY,LOC129025684,protein_coding
RBMY,LOC129025685,pseudogene
TSPY,LOC129025686,pseudogene
RBMY,LOC129025867,protein_coding
RBMY,LOC129025866,protein_coding
RBMY,LOC129025868,pseudogene
RBMY,LOC129025850,protein_coding
RBMY,LOC129025935,protein_coding
RBMY,LOC129025936,pseudogene
RBMY,LOC129025851,protein_coding
RBMY,LOC129025831,protein_coding
CDY,LOC129025698,pseudogene
RBMY,LOC129025699,pseudogene
CDY,LOC129025896,protein_coding
CDY,LOC129025903,protein_coding
DAZ,LOC129025961,protein_coding
DAZ,LOC129025963,protein_coding
BPY2,LOC129025705,pseudogene
CDY,LOC129025919,pseudogene
HSFY,LOC129025707,pseudogene
CDY,LOC129025915,pseudogene
CDY,LOC129025927,pseudogene
HSFY,LOC129025710,pseudogene
CDY,LOC129025952,pseudogene
BPY2,LOC129025711,pseudogene
DAZ,LOC129025944,protein_coding
DAZ,LOC129025942,protein_coding
BPY2,LOC129025712,pseudogene
BPY2,LOC129025713,pseudogene
HSFY,LOC129025715,pseudogene
XKRY,LOC129025717,pseudogene
CDY,LOC129025895,pseudogene
CDY,LOC129025902,protein_coding
HSFY,LOC129025718,pseudogene
CDY,LOC129025886,protein_coding
CDY,LOC129025721,pseudogene
XKRY,LOC129025722,pseudogene
HSFY,LOC129025723,pseudogene
XKRY,LOC129025725,pseudogene
XKRY,LOC129025726,pseudogene
HSFY,LOC129025904,protein_coding
HSFY,LOC129025732,pseudogene
PRY,LOC129025733,pseudogene
XKRY,LOC129025906,pseudogene
CDY,LOC129025907,pseudogene
CDY,LOC129025908,pseudogene
XKRY,LOC129025909,pseudogene
PRY,LOC129025734,pseudogene
HSFY,LOC129025837,protein_coding
XKRY,LOC129025741,pseudogene
XKRY,LOC129025742,pseudogene
HSFY,LOC129025745,pseudogene
XKRY,LOC129025991,pseudogene
CDY,LOC129025891,pseudogene
CDY,LOC129025978,pseudogene
HSFY,LOC129025748,pseudogene
CDY,LOC129025917,protein_coding
BPY2,LOC129025749,pseudogene
DAZ,LOC129025913,protein_coding
DAZ,LOC129025914,protein_coding
CDY,LOC129025890,protein_coding
CDY,LOC129025888,protein_coding
XKRY,LOC129025751,pseudogene
HSFY,LOC129025753,pseudogene
CDY,LOC129025918,pseudogene
CDY,LOC129025953,pseudogene
BPY2,LOC129025755,pseudogene
DAZ,LOC129025945,protein_coding
DAZ,LOC129025947,protein_coding
HSFY,LOC129025757,pseudogene
PRY,LOC129025759,pseudogene
CDY,LOC129025898,protein_coding
CDY,LOC129025901,protein_coding
XKRY,LOC129025760,pseudogene
HSFY,LOC129025762,pseudogene
PRY,LOC129025764,protein_coding
XKRY,LOC129025655,pseudogene
PRY,LOC129025765,pseudogene
HSFY,LOC129025766,pseudogene
XKRY,LOC129025768,pseudogene
HSFY,LOC129025967,protein_coding
HSFY,LOC129025776,pseudogene
XKRY,LOC129025990,pseudogene
CDY,LOC129025856,pseudogene
CDY,LOC129025889,protein_coding
CDY,LOC129025887,protein_coding
XKRY,LOC129025779,pseudogen
HSFY,LOC129025780,pseudogene
XKRY,LOC129025782,pseudogene
HSFY,LOC129025964,protein_coding
HSFY,LOC129025791,pseudogene
XKRY,LOC129025989,pseudogene
CDY,LOC129025884,pseudogene
CDY,LOC129025880,pseudogene
HSFY,LOC129025793,pseudogen
CDY,LOC129025879,protein_coding
CDY,LOC129025882,protein_coding
XKRY,LOC129025794,pseudogene
HSFY,LOC129025797,pseudogene
DAZ,LOC129025960,protein_coding
DAZ,LOC129025923,protein_coding
BPY2,LOC129025799,pseudogene
