"transcript_id","structural_isoform","species","sequence_isoform"
"TCONS_00000147_human_techrep1_PRY","isoform_1","human","isoform_1"
"TCONS_00000187_human_techrep1_PRY","isoform_2","human","isoform_2"
"TCONS_00000188_human_techrep1_PRY","isoform_3","human","isoform_2"
"TCONS_00000189_human_techrep1_PRY","isoform_1","human","isoform_1"
"TCONS_00000286_human_techrep1_PRY","isoform_4","human","isoform_3"
"TCONS_00000332_human_techrep1_PRY","isoform_5","human","isoform_3"
"TCONS_00000333_human_techrep1_PRY","isoform_6","human","isoform_2"
"TCONS_00000335_human_techrep1_PRY","isoform_7","human","isoform_3"
"TCONS_00000336_human_techrep1_PRY","isoform_3","human","isoform_2"
"TCONS_00000675_human_techrep1_PRY","isoform_8","human","isoform_2"
"TCONS_00000676_human_techrep1_PRY","isoform_9","human","isoform_2"
"TCONS_00000968_human_techrep1_PRY","isoform_9","human","isoform_2"
