"transcript_id","structural_isoform","species","sequence_isoform"
"TCONS_00000011_human_techrep1_TSPY","isoform_1","human","isoform_1"
"TCONS_00000012_human_techrep1_TSPY","isoform_2","human","isoform_2"
"TCONS_00000013_human_techrep1_TSPY","isoform_1","human","isoform_1"
"TCONS_00000014_human_techrep1_TSPY","isoform_3","human","isoform_3"
"TCONS_00000015_human_techrep1_TSPY","isoform_1","human","isoform_4"
"TCONS_00000016_human_techrep1_TSPY","isoform_4","human","isoform_5"
"TCONS_00000017_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000018_human_techrep1_TSPY","isoform_1","human","isoform_7"
"TCONS_00000019_human_techrep1_TSPY","isoform_4","human","isoform_8"
"TCONS_00000020_chimp_techrep1_TSPY","isoform_5","chimp","isoform_9"
"TCONS_00000020_human_techrep1_TSPY","isoform_6","human","isoform_10"
"TCONS_00000022_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000023_human_techrep1_TSPY","isoform_7","human","isoform_11"
"TCONS_00000024_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000024_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000025_bonobo_techrep1_TSPY","isoform_8","bonobo","isoform_13"
"TCONS_00000025_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000026_bonobo_techrep1_TSPY","isoform_9","bonobo","isoform_14"
"TCONS_00000026_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000027_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000028_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000029_human_techrep1_TSPY","isoform_6","human","isoform_10"
"TCONS_00000032_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000032_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000033_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000034_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000035_human_techrep1_TSPY","isoform_10","human","isoform_18"
"TCONS_00000036_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000037_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000038_human_techrep1_TSPY","isoform_1","human","isoform_19"
"TCONS_00000039_human_techrep1_TSPY","isoform_3","human","isoform_20"
"TCONS_00000040_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000043_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000045_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000046_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000047_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000047_human_techrep1_TSPY","isoform_6","human","isoform_10"
"TCONS_00000049_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000051_human_techrep1_TSPY","isoform_1","human","isoform_21"
"TCONS_00000052_human_techrep1_TSPY","isoform_11","human","isoform_22"
"TCONS_00000053_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000053_human_techrep1_TSPY","isoform_1","human","isoform_23"
"TCONS_00000054_bonobo_techrep1_TSPY","isoform_5","bonobo","isoform_24"
"TCONS_00000057_human_techrep1_TSPY","isoform_1","human","isoform_21"
"TCONS_00000058_human_techrep1_TSPY","isoform_1","human","isoform_25"
"TCONS_00000059_human_techrep1_TSPY","isoform_4","human","isoform_26"
"TCONS_00000060_human_techrep1_TSPY","isoform_1","human","isoform_7"
"TCONS_00000061_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000062_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000063_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000064_human_techrep1_TSPY","isoform_1","human","isoform_27"
"TCONS_00000065_human_techrep1_TSPY","isoform_12","human","isoform_28"
"TCONS_00000066_human_techrep1_TSPY","isoform_1","human","isoform_19"
"TCONS_00000067_human_techrep1_TSPY","isoform_1","human","isoform_21"
"TCONS_00000068_human_techrep1_TSPY","isoform_10","human","isoform_29"
"TCONS_00000069_human_techrep1_TSPY","isoform_1","human","isoform_25"
"TCONS_00000070_human_techrep1_TSPY","isoform_7","human","isoform_30"
"TCONS_00000071_human_techrep1_TSPY","isoform_1","human","isoform_25"
"TCONS_00000072_gor_techrep1_TSPY","isoform_1","gor","isoform_31"
"TCONS_00000072_human_techrep1_TSPY","isoform_4","human","isoform_26"
"TCONS_00000073_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000074_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000075_human_techrep1_TSPY","isoform_12","human","isoform_32"
"TCONS_00000076_human_techrep1_TSPY","isoform_1","human","isoform_32"
"TCONS_00000077_human_techrep1_TSPY","isoform_1","human","isoform_6"
"TCONS_00000078_human_techrep1_TSPY","isoform_1","human","isoform_21"
"TCONS_00000087_chimp_techrep1_TSPY","isoform_13","chimp","isoform_33"
"TCONS_00000091_sum_orang_techrep1_TSPY","isoform_14","sum_orang","isoform_34"
"TCONS_00000092_sum_orang_techrep1_TSPY","isoform_15","sum_orang","isoform_35"
"TCONS_00000093_sum_orang_techrep1_TSPY","isoform_15","sum_orang","isoform_36"
"TCONS_00000094_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000095_bonobo_techrep1_TSPY","isoform_4","bonobo","isoform_38"
"TCONS_00000096_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_39"
"TCONS_00000097_sum_orang_techrep1_TSPY","isoform_12","sum_orang","isoform_40"
"TCONS_00000098_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_41"
"TCONS_00000098_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_42"
"TCONS_00000099_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000099_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_43"
"TCONS_00000100_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_44"
"TCONS_00000100_sum_orang_techrep1_TSPY","isoform_16","sum_orang","isoform_45"
"TCONS_00000101_bonobo_techrep1_TSPY","isoform_16","bonobo","isoform_46"
"TCONS_00000101_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_47"
"TCONS_00000102_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_42"
"TCONS_00000103_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_42"
"TCONS_00000104_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_42"
"TCONS_00000105_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000106_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000107_sum_orang_techrep1_TSPY","isoform_7","sum_orang","isoform_48"
"TCONS_00000108_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000109_chimp_techrep1_TSPY","isoform_1","chimp","isoform_49"
"TCONS_00000109_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_50"
"TCONS_00000110_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_50"
"TCONS_00000111_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_50"
"TCONS_00000112_sum_orang_techrep1_TSPY","isoform_16","sum_orang","isoform_45"
"TCONS_00000113_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000114_sum_orang_techrep1_TSPY","isoform_15","sum_orang","isoform_36"
"TCONS_00000115_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000116_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000116_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000117_bonobo_techrep1_TSPY","isoform_16","bonobo","isoform_13"
"TCONS_00000117_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_50"
"TCONS_00000118_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000118_sum_orang_techrep1_TSPY","isoform_1","sum_orang","isoform_37"
"TCONS_00000119_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000119_sum_orang_techrep1_TSPY","isoform_6","sum_orang","isoform_51"
"TCONS_00000120_bonobo_techrep1_TSPY","isoform_4","bonobo","isoform_52"
"TCONS_00000121_bonobo_techrep1_TSPY","isoform_4","bonobo","isoform_52"
"TCONS_00000122_bonobo_techrep1_TSPY","isoform_17","bonobo","isoform_52"
"TCONS_00000123_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000124_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000125_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000126_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000127_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_53"
"TCONS_00000128_bonobo_techrep1_TSPY","isoform_18","bonobo","isoform_54"
"TCONS_00000129_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000133_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000133_gor_techrep1_TSPY","isoform_1","gor","isoform_55"
"TCONS_00000134_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000134_chimp_techrep1_TSPY","isoform_5","chimp","isoform_56"
"TCONS_00000134_gor_techrep1_TSPY","isoform_1","gor","isoform_55"
"TCONS_00000135_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_12"
"TCONS_00000135_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000135_gor_techrep1_TSPY","isoform_18","gor","isoform_58"
"TCONS_00000136_bonobo_techrep1_TSPY","isoform_6","bonobo","isoform_59"
"TCONS_00000136_chimp_techrep1_TSPY","isoform_1","chimp","isoform_60"
"TCONS_00000136_gor_techrep1_TSPY","isoform_19","gor","isoform_61"
"TCONS_00000137_bonobo_techrep1_TSPY","isoform_6","bonobo","isoform_59"
"TCONS_00000137_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000137_gor_techrep1_TSPY","isoform_1","gor","isoform_62"
"TCONS_00000138_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_53"
"TCONS_00000138_chimp_techrep1_TSPY","isoform_1","chimp","isoform_60"
"TCONS_00000138_gor_techrep1_TSPY","isoform_1","gor","isoform_55"
"TCONS_00000139_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000139_gor_techrep1_TSPY","isoform_1","gor","isoform_55"
"TCONS_00000140_bor_orang_techrep1_TSPY","isoform_20","bor_orang","isoform_63"
"TCONS_00000140_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000140_gor_techrep1_TSPY","isoform_10","gor","isoform_58"
"TCONS_00000141_chimp_techrep1_TSPY","isoform_1","chimp","isoform_60"
"TCONS_00000141_gor_techrep1_TSPY","isoform_16","gor","isoform_64"
"TCONS_00000142_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_13"
"TCONS_00000142_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_65"
"TCONS_00000142_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000142_gor_techrep1_TSPY","isoform_10","gor","isoform_58"
"TCONS_00000143_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_16"
"TCONS_00000143_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000143_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000143_gor_techrep1_TSPY","isoform_1","gor","isoform_55"
"TCONS_00000144_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000144_chimp_techrep1_TSPY","isoform_16","chimp","isoform_66"
"TCONS_00000145_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000145_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000146_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000146_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000147_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_67"
"TCONS_00000147_chimp_techrep1_TSPY","isoform_1","chimp","isoform_60"
"TCONS_00000148_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000148_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000149_bor_orang_techrep1_TSPY","isoform_21","bor_orang","isoform_68"
"TCONS_00000149_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000150_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000150_chimp_techrep1_TSPY","isoform_1","chimp","isoform_60"
"TCONS_00000151_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000152_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000152_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000153_chimp_techrep1_TSPY","isoform_1","chimp","isoform_57"
"TCONS_00000154_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000154_chimp_techrep1_TSPY","isoform_1","chimp","isoform_69"
"TCONS_00000155_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000156_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000157_bor_orang_techrep1_TSPY","isoform_22","bor_orang","isoform_70"
"TCONS_00000158_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000159_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000160_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000160_human_techrep1_TSPY","isoform_23","human","isoform_72"
"TCONS_00000161_bor_orang_techrep1_TSPY","isoform_15","bor_orang","isoform_42"
"TCONS_00000161_human_techrep1_TSPY","isoform_24","human","isoform_73"
"TCONS_00000162_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000162_human_techrep1_TSPY","isoform_25","human","isoform_73"
"TCONS_00000163_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000163_human_techrep1_TSPY","isoform_1","human","isoform_74"
"TCONS_00000164_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000164_human_techrep1_TSPY","isoform_3","human","isoform_75"
"TCONS_00000165_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000165_human_techrep1_TSPY","isoform_4","human","isoform_76"
"TCONS_00000166_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000167_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000168_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000169_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_77"
"TCONS_00000170_bor_orang_techrep1_TSPY","isoform_16","bor_orang","isoform_78"
"TCONS_00000170_chimp_techrep1_TSPY","isoform_26","chimp","isoform_79"
"TCONS_00000171_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000171_chimp_techrep1_TSPY","isoform_17","chimp","isoform_80"
"TCONS_00000172_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000173_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_42"
"TCONS_00000174_bonobo_techrep1_TSPY","isoform_27","bonobo","isoform_81"
"TCONS_00000174_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_82"
"TCONS_00000175_bonobo_techrep1_TSPY","isoform_5","bonobo","isoform_83"
"TCONS_00000178_chimp_techrep1_TSPY","isoform_1","chimp","isoform_84"
"TCONS_00000185_chimp_techrep1_TSPY","isoform_4","chimp","isoform_85"
"TCONS_00000195_bonobo_techrep1_TSPY","isoform_16","bonobo","isoform_86"
"TCONS_00000204_bonobo_techrep1_TSPY","isoform_1","bonobo","isoform_13"
"TCONS_00000205_bonobo_techrep1_TSPY","isoform_18","bonobo","isoform_54"
"TCONS_00000212_gor_techrep1_TSPY","isoform_10","gor","isoform_58"
"TCONS_00000213_gor_techrep1_TSPY","isoform_10","gor","isoform_58"
"TCONS_00000233_human_techrep1_TSPY","isoform_28","human","isoform_87"
"TCONS_00000238_human_techrep1_TSPY","isoform_3","human","isoform_3"
"TCONS_00000239_human_techrep1_TSPY","isoform_4","human","isoform_88"
"TCONS_00000240_human_techrep1_TSPY","isoform_7","human","isoform_89"
"TCONS_00000241_human_techrep1_TSPY","isoform_3","human","isoform_90"
"TCONS_00000242_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000243_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000244_human_techrep1_TSPY","isoform_3","human","isoform_91"
"TCONS_00000246_human_techrep1_TSPY","isoform_10","human","isoform_92"
"TCONS_00000247_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000248_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000249_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000250_human_techrep1_TSPY","isoform_1","human","isoform_93"
"TCONS_00000252_human_techrep1_TSPY","isoform_7","human","isoform_94"
"TCONS_00000253_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000254_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000254_sum_orang_techrep1_TSPY","isoform_6","sum_orang","isoform_34"
"TCONS_00000256_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000256_sum_orang_techrep1_TSPY","isoform_16","sum_orang","isoform_95"
"TCONS_00000257_human_techrep1_TSPY","isoform_1","human","isoform_19"
"TCONS_00000257_sum_orang_techrep1_TSPY","isoform_7","sum_orang","isoform_48"
"TCONS_00000258_human_techrep1_TSPY","isoform_3","human","isoform_96"
"TCONS_00000259_human_techrep1_TSPY","isoform_1","human","isoform_97"
"TCONS_00000259_sum_orang_techrep1_TSPY","isoform_6","sum_orang","isoform_98"
"TCONS_00000260_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000261_sum_orang_techrep1_TSPY","isoform_7","sum_orang","isoform_48"
"TCONS_00000262_human_techrep1_TSPY","isoform_1","human","isoform_19"
"TCONS_00000262_sum_orang_techrep1_TSPY","isoform_16","sum_orang","isoform_95"
"TCONS_00000263_human_techrep1_TSPY","isoform_1","human","isoform_99"
"TCONS_00000263_sum_orang_techrep1_TSPY","isoform_21","sum_orang","isoform_100"
"TCONS_00000264_sum_orang_techrep1_TSPY","isoform_7","sum_orang","isoform_101"
"TCONS_00000265_human_techrep1_TSPY","isoform_10","human","isoform_29"
"TCONS_00000265_sum_orang_techrep1_TSPY","isoform_22","sum_orang","isoform_102"
"TCONS_00000266_human_techrep1_TSPY","isoform_7","human","isoform_103"
"TCONS_00000267_human_techrep1_TSPY","isoform_4","human","isoform_8"
"TCONS_00000267_sum_orang_techrep1_TSPY","isoform_21","sum_orang","isoform_100"
"TCONS_00000268_human_techrep1_TSPY","isoform_3","human","isoform_104"
"TCONS_00000268_sum_orang_techrep1_TSPY","isoform_7","sum_orang","isoform_101"
"TCONS_00000269_human_techrep1_TSPY","isoform_7","human","isoform_30"
"TCONS_00000269_sum_orang_techrep1_TSPY","isoform_15","sum_orang","isoform_36"
"TCONS_00000270_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000274_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000275_human_techrep1_TSPY","isoform_10","human","isoform_29"
"TCONS_00000295_bor_orang_techrep1_TSPY","isoform_29","bor_orang","isoform_105"
"TCONS_00000296_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_71"
"TCONS_00000298_bor_orang_techrep1_TSPY","isoform_21","bor_orang","isoform_68"
"TCONS_00000299_bor_orang_techrep1_TSPY","isoform_28","bor_orang","isoform_106"
"TCONS_00000300_bor_orang_techrep1_TSPY","isoform_7","bor_orang","isoform_107"
"TCONS_00000301_bor_orang_techrep1_TSPY","isoform_1","bor_orang","isoform_108"
"TCONS_00000320_human_techrep1_TSPY","isoform_15","human","isoform_73"
"TCONS_00000321_human_techrep1_TSPY","isoform_28","human","isoform_73"
"TCONS_00000323_human_techrep1_TSPY","isoform_23","human","isoform_72"
"TCONS_00000324_human_techrep1_TSPY","isoform_30","human","isoform_73"
"TCONS_00000451_human_techrep1_TSPY","isoform_31","human","isoform_87"
"TCONS_00000475_human_techrep1_TSPY","isoform_32","human","isoform_109"
"TCONS_00000476_human_techrep1_TSPY","isoform_4","human","isoform_88"
"TCONS_00000477_human_techrep1_TSPY","isoform_33","human","isoform_2"
"TCONS_00000478_human_techrep1_TSPY","isoform_1","human","isoform_110"
"TCONS_00000481_human_techrep1_TSPY","isoform_32","human","isoform_111"
"TCONS_00000482_human_techrep1_TSPY","isoform_34","human","isoform_112"
"TCONS_00000483_human_techrep1_TSPY","isoform_1","human","isoform_113"
"TCONS_00000484_human_techrep1_TSPY","isoform_35","human","isoform_114"
"TCONS_00000485_human_techrep1_TSPY","isoform_28","human","isoform_115"
"TCONS_00000486_human_techrep1_TSPY","isoform_1","human","isoform_25"
"TCONS_00000487_human_techrep1_TSPY","isoform_4","human","isoform_26"
"TCONS_00000488_human_techrep1_TSPY","isoform_35","human","isoform_116"
"TCONS_00000489_human_techrep1_TSPY","isoform_3","human","isoform_117"
"TCONS_00000490_human_techrep1_TSPY","isoform_32","human","isoform_111"
"TCONS_00000491_human_techrep1_TSPY","isoform_28","human","isoform_11"
"TCONS_00000492_human_techrep1_TSPY","isoform_1","human","isoform_110"
"TCONS_00000493_human_techrep1_TSPY","isoform_15","human","isoform_118"
"TCONS_00000494_human_techrep1_TSPY","isoform_36","human","isoform_119"
"TCONS_00000496_human_techrep1_TSPY","isoform_28","human","isoform_11"
"TCONS_00000497_human_techrep1_TSPY","isoform_35","human","isoform_120"
"TCONS_00000498_human_techrep1_TSPY","isoform_15","human","isoform_118"
"TCONS_00000500_human_techrep1_TSPY","isoform_37","human","isoform_94"
"TCONS_00000501_human_techrep1_TSPY","isoform_32","human","isoform_121"
"TCONS_00000502_human_techrep1_TSPY","isoform_4","human","isoform_122"
"TCONS_00000503_human_techrep1_TSPY","isoform_28","human","isoform_123"
"TCONS_00000504_human_techrep1_TSPY","isoform_4","human","isoform_15"
"TCONS_00000505_human_techrep1_TSPY","isoform_17","human","isoform_124"
"TCONS_00000506_human_techrep1_TSPY","isoform_32","human","isoform_111"
"TCONS_00000507_human_techrep1_TSPY","isoform_3","human","isoform_17"
"TCONS_00000508_human_techrep1_TSPY","isoform_38","human","isoform_125"
"TCONS_00000511_human_techrep1_TSPY","isoform_7","human","isoform_126"
"TCONS_00000512_human_techrep1_TSPY","isoform_34","human","isoform_127"
"TCONS_00000514_human_techrep1_TSPY","isoform_4","human","isoform_122"
"TCONS_00000515_human_techrep1_TSPY","isoform_32","human","isoform_121"
"TCONS_00000516_human_techrep1_TSPY","isoform_3","human","isoform_96"
"TCONS_00000517_human_techrep1_TSPY","isoform_34","human","isoform_128"
"TCONS_00000518_human_techrep1_TSPY","isoform_39","human","isoform_129"
"TCONS_00000519_human_techrep1_TSPY","isoform_28","human","isoform_30"
"TCONS_00000521_human_techrep1_TSPY","isoform_3","human","isoform_117"
"TCONS_00000523_human_techrep1_TSPY","isoform_4","human","isoform_130"
"TCONS_00000524_human_techrep1_TSPY","isoform_1","human","isoform_131"
"TCONS_00000525_human_techrep1_TSPY","isoform_3","human","isoform_132"
"TCONS_00000526_human_techrep1_TSPY","isoform_7","human","isoform_133"
"TCONS_00000527_human_techrep1_TSPY","isoform_40","human","isoform_134"
"TCONS_00000528_human_techrep1_TSPY","isoform_3","human","isoform_135"
"TCONS_00000531_human_techrep1_TSPY","isoform_3","human","isoform_90"
"TCONS_00000533_human_techrep1_TSPY","isoform_6","human","isoform_10"
"TCONS_00000534_human_techrep1_TSPY","isoform_34","human","isoform_32"
"TCONS_00000836_human_techrep1_TSPY","isoform_32","human","isoform_136"
