"transcript_id","structural_isoform","species","sequence_isoform"
"TCONS_00000012_gor_techrep1_CDY","isoform_1","gor","isoform_1"
"TCONS_00000018_gor_techrep1_CDY","isoform_1","gor","isoform_2"
"TCONS_00000019_gor_techrep1_CDY","isoform_1","gor","isoform_3"
"TCONS_00000025_chimp_techrep1_CDY","isoform_1","chimp","isoform_4"
"TCONS_00000026_chimp_techrep1_CDY","isoform_1","chimp","isoform_5"
"TCONS_00000034_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000041_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_7"
"TCONS_00000050_chimp_techrep1_CDY","isoform_1","chimp","isoform_8"
"TCONS_00000051_chimp_techrep1_CDY","isoform_1","chimp","isoform_9"
"TCONS_00000059_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_10"
"TCONS_00000061_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_11"
"TCONS_00000063_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000065_gor_techrep1_CDY","isoform_1","gor","isoform_12"
"TCONS_00000067_bonobo_techrep1_CDY","isoform_1","bonobo","isoform_13"
"TCONS_00000071_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_14"
"TCONS_00000074_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_15"
"TCONS_00000084_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_6"
"TCONS_00000085_human_techrep1_CDY","isoform_1","human","isoform_16"
"TCONS_00000089_chimp_techrep1_CDY","isoform_1","chimp","isoform_4"
"TCONS_00000093_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_17"
"TCONS_00000093_gor_techrep1_CDY","isoform_1","gor","isoform_18"
"TCONS_00000097_gor_techrep1_CDY","isoform_1","gor","isoform_19"
"TCONS_00000125_chimp_techrep1_CDY","isoform_1","chimp","isoform_9"
"TCONS_00000131_human_techrep1_CDY","isoform_1","human","isoform_20"
"TCONS_00000132_human_techrep1_CDY","isoform_1","human","isoform_21"
"TCONS_00000133_human_techrep1_CDY","isoform_1","human","isoform_22"
"TCONS_00000137_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_23"
"TCONS_00000145_human_techrep1_CDY","isoform_1","human","isoform_20"
"TCONS_00000146_human_techrep1_CDY","isoform_1","human","isoform_21"
"TCONS_00000153_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000156_bonobo_techrep1_CDY","isoform_1","bonobo","isoform_24"
"TCONS_00000156_chimp_techrep1_CDY","isoform_1","chimp","isoform_25"
"TCONS_00000165_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000171_human_techrep1_CDY","isoform_1","human","isoform_16"
"TCONS_00000172_bonobo_techrep1_CDY","isoform_1","bonobo","isoform_13"
"TCONS_00000185_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_11"
"TCONS_00000188_gor_techrep1_CDY","isoform_1","gor","isoform_12"
"TCONS_00000191_sum_orang_techrep1_CDY","isoform_1","sum_orang","isoform_26"
"TCONS_00000201_chimp_techrep1_CDY","isoform_1","chimp","isoform_4"
"TCONS_00000211_bonobo_techrep1_CDY","isoform_1","bonobo","isoform_13"
"TCONS_00000229_sum_orang_techrep1_CDY","isoform_1","sum_orang","isoform_27"
"TCONS_00000232_chimp_techrep1_CDY","isoform_1","chimp","isoform_8"
"TCONS_00000240_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000244_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_6"
"TCONS_00000294_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_11"
"TCONS_00000296_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000300_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_6"
"TCONS_00000302_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_28"
"TCONS_00000308_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_29"
"TCONS_00000310_human_techrep1_CDY","isoform_1","human","isoform_22"
"TCONS_00000323_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_30"
"TCONS_00000325_sum_orang_techrep1_CDY","isoform_1","sum_orang","isoform_31"
"TCONS_00000328_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_32"
"TCONS_00000351_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_33"
"TCONS_00000352_sum_orang_techrep1_CDY","isoform_2","sum_orang","isoform_11"
"TCONS_00000417_bor_orang_techrep1_CDY","isoform_2","bor_orang","isoform_17"
"TCONS_00000707_human_techrep1_CDY","isoform_1","human","isoform_21"
