"transcript_id","structural_isoform","species","sequence_isoform"
"TCONS_00000030_chimp_techrep1_DAZ","isoform_1","chimp","isoform_1"
"TCONS_00000031_chimp_techrep1_DAZ","isoform_2","chimp","isoform_2"
"TCONS_00000032_chimp_techrep1_DAZ","isoform_3","chimp","isoform_3"
"TCONS_00000032_sum_orang_techrep1_DAZ","isoform_4","sum_orang","isoform_4"
"TCONS_00000033_chimp_techrep1_DAZ","isoform_5","chimp","isoform_5"
"TCONS_00000048_sum_orang_techrep1_DAZ","isoform_6","sum_orang","isoform_6"
"TCONS_00000057_bor_orang_techrep1_DAZ","isoform_7","bor_orang","isoform_7"
"TCONS_00000059_chimp_techrep1_DAZ","isoform_8","chimp","isoform_8"
"TCONS_00000060_chimp_techrep1_DAZ","isoform_9","chimp","isoform_9"
"TCONS_00000061_chimp_techrep1_DAZ","isoform_10","chimp","isoform_10"
"TCONS_00000062_chimp_techrep1_DAZ","isoform_11","chimp","isoform_11"
"TCONS_00000063_chimp_techrep1_DAZ","isoform_12","chimp","isoform_12"
"TCONS_00000064_chimp_techrep1_DAZ","isoform_13","chimp","isoform_13"
"TCONS_00000069_bor_orang_techrep1_DAZ","isoform_14","bor_orang","isoform_14"
"TCONS_00000070_bonobo_techrep1_DAZ","isoform_15","bonobo","isoform_15"
"TCONS_00000070_bor_orang_techrep1_DAZ","isoform_16","bor_orang","isoform_16"
"TCONS_00000071_bonobo_techrep1_DAZ","isoform_1","bonobo","isoform_17"
"TCONS_00000072_bonobo_techrep1_DAZ","isoform_17","bonobo","isoform_18"
"TCONS_00000073_bonobo_techrep1_DAZ","isoform_18","bonobo","isoform_19"
"TCONS_00000074_bonobo_techrep1_DAZ","isoform_19","bonobo","isoform_20"
"TCONS_00000075_bonobo_techrep1_DAZ","isoform_20","bonobo","isoform_21"
"TCONS_00000076_bonobo_techrep1_DAZ","isoform_5","bonobo","isoform_22"
"TCONS_00000076_bor_orang_techrep1_DAZ","isoform_21","bor_orang","isoform_23"
"TCONS_00000077_bonobo_techrep1_DAZ","isoform_11","bonobo","isoform_24"
"TCONS_00000078_bonobo_techrep1_DAZ","isoform_5","bonobo","isoform_25"
"TCONS_00000079_bonobo_techrep1_DAZ","isoform_11","bonobo","isoform_26"
"TCONS_00000080_bonobo_techrep1_DAZ","isoform_2","bonobo","isoform_27"
"TCONS_00000081_bonobo_techrep1_DAZ","isoform_11","bonobo","isoform_28"
"TCONS_00000092_chimp_techrep1_DAZ","isoform_22","chimp","isoform_29"
"TCONS_00000093_chimp_techrep1_DAZ","isoform_22","chimp","isoform_30"
"TCONS_00000094_chimp_techrep1_DAZ","isoform_23","chimp","isoform_31"
"TCONS_00000095_chimp_techrep1_DAZ","isoform_24","chimp","isoform_32"
"TCONS_00000096_chimp_techrep1_DAZ","isoform_3","chimp","isoform_33"
"TCONS_00000097_chimp_techrep1_DAZ","isoform_22","chimp","isoform_34"
"TCONS_00000098_chimp_techrep1_DAZ","isoform_25","chimp","isoform_35"
"TCONS_00000099_chimp_techrep1_DAZ","isoform_26","chimp","isoform_36"
"TCONS_00000100_chimp_techrep1_DAZ","isoform_22","chimp","isoform_37"
"TCONS_00000101_chimp_techrep1_DAZ","isoform_27","chimp","isoform_38"
"TCONS_00000102_chimp_techrep1_DAZ","isoform_28","chimp","isoform_39"
"TCONS_00000103_chimp_techrep1_DAZ","isoform_28","chimp","isoform_40"
"TCONS_00000126_chimp_techrep1_DAZ","isoform_12","chimp","isoform_12"
"TCONS_00000126_human_techrep1_DAZ","isoform_29","human","isoform_41"
"TCONS_00000127_chimp_techrep1_DAZ","isoform_13","chimp","isoform_42"
"TCONS_00000127_human_techrep1_DAZ","isoform_30","human","isoform_43"
"TCONS_00000128_chimp_techrep1_DAZ","isoform_13","chimp","isoform_13"
"TCONS_00000129_chimp_techrep1_DAZ","isoform_31","chimp","isoform_44"
"TCONS_00000130_chimp_techrep1_DAZ","isoform_13","chimp","isoform_45"
"TCONS_00000131_chimp_techrep1_DAZ","isoform_32","chimp","isoform_46"
"TCONS_00000132_chimp_techrep1_DAZ","isoform_8","chimp","isoform_47"
"TCONS_00000137_human_techrep1_DAZ","isoform_33","human","isoform_48"
"TCONS_00000138_human_techrep1_DAZ","isoform_29","human","isoform_49"
"TCONS_00000139_human_techrep1_DAZ","isoform_29","human","isoform_50"
"TCONS_00000140_human_techrep1_DAZ","isoform_34","human","isoform_51"
"TCONS_00000141_human_techrep1_DAZ","isoform_35","human","isoform_52"
"TCONS_00000142_human_techrep1_DAZ","isoform_36","human","isoform_53"
"TCONS_00000143_human_techrep1_DAZ","isoform_37","human","isoform_54"
"TCONS_00000157_bonobo_techrep1_DAZ","isoform_38","bonobo","isoform_55"
"TCONS_00000157_gor_techrep1_DAZ","isoform_39","gor","isoform_56"
"TCONS_00000158_gor_techrep1_DAZ","isoform_39","gor","isoform_57"
"TCONS_00000159_bonobo_techrep1_DAZ","isoform_11","bonobo","isoform_58"
"TCONS_00000159_gor_techrep1_DAZ","isoform_40","gor","isoform_59"
"TCONS_00000160_gor_techrep1_DAZ","isoform_41","gor","isoform_60"
"TCONS_00000161_bonobo_techrep1_DAZ","isoform_13","bonobo","isoform_61"
"TCONS_00000162_bonobo_techrep1_DAZ","isoform_42","bonobo","isoform_62"
"TCONS_00000163_bonobo_techrep1_DAZ","isoform_43","bonobo","isoform_63"
"TCONS_00000164_bonobo_techrep1_DAZ","isoform_44","bonobo","isoform_64"
"TCONS_00000173_chimp_techrep1_DAZ","isoform_22","chimp","isoform_37"
"TCONS_00000181_chimp_techrep1_DAZ","isoform_11","chimp","isoform_11"
"TCONS_00000182_chimp_techrep1_DAZ","isoform_45","chimp","isoform_65"
"TCONS_00000183_chimp_techrep1_DAZ","isoform_46","chimp","isoform_46"
"TCONS_00000186_gor_techrep1_DAZ","isoform_47","gor","isoform_66"
"TCONS_00000193_bonobo_techrep1_DAZ","isoform_48","bonobo","isoform_67"
"TCONS_00000196_human_techrep1_DAZ","isoform_49","human","isoform_68"
"TCONS_00000197_human_techrep1_DAZ","isoform_37","human","isoform_69"
"TCONS_00000197_sum_orang_techrep1_DAZ","isoform_50","sum_orang","isoform_70"
"TCONS_00000198_human_techrep1_DAZ","isoform_51","human","isoform_71"
"TCONS_00000199_human_techrep1_DAZ","isoform_52","human","isoform_72"
"TCONS_00000200_bor_orang_techrep1_DAZ","isoform_53","bor_orang","isoform_73"
"TCONS_00000200_human_techrep1_DAZ","isoform_49","human","isoform_74"
"TCONS_00000201_bor_orang_techrep1_DAZ","isoform_54","bor_orang","isoform_75"
"TCONS_00000201_human_techrep1_DAZ","isoform_55","human","isoform_76"
"TCONS_00000202_bor_orang_techrep1_DAZ","isoform_56","bor_orang","isoform_77"
"TCONS_00000202_chimp_techrep1_DAZ","isoform_11","chimp","isoform_78"
"TCONS_00000203_bor_orang_techrep1_DAZ","isoform_57","bor_orang","isoform_79"
"TCONS_00000209_human_techrep1_DAZ","isoform_58","human","isoform_80"
